,x,,,
1,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
2,RT @RT_America: #TigerWoods got the Medal of Freedom from #Trump and a lot of hate from Trump critics ,,,
3,RT @THEPOTATOHEADS: Gallup: Trump Approval Rating Ticks Up to New High of 46 Percent ,,,
4,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
5,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
6,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
7,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
8,"RT @norrthpier: @The_UnSilent_ @CNN Hence, @CNN's unwavering support for #Trump and hiring his race-baiting buds as commentators.",,,
9,"Mollie Hemingway: Democrats, not Trump, are having the hard time ... - ",,,
10,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
11,"RT @RepDeSaulnier: Nobody is above the law. If President #Trump committed obstruction, he should face the consequences. ",,,
12,"""#WorldNews Story: Dems Press for Invalidation of #Trump's Pardon of Arpaio #News"": ",,,
13,Call me a bleeding heart but I was sad to see #MichaelCohen walking into prison today knowing he did a lot to cover up for #Trump,,,
14,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
15,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
16,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
17,"I think about this all the time. The likeness is uncanny 

#trump #antichrist 

",,,
18,For all of his supposed wealth #Trump is a low life. ,,,
19,"RT @pinoange: Presidential Cover Up by Ed Wexler
#Trump #Barr ",,,
20,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
21,#TRUMP TOOK THE COUNTRY FROM #BHO TOILET TO GREAT AGAIN IN LESS THN 2YRS!! PERIOD - END OF DISCUSSION!! ,,,
22,"#Mueller with...... David McCallum?!!! 

#Wtf #RobertMueller #Barr #Mnuchin #Trump ",,,
23,"@realTuckFrumper #Trump sullies everything he touches. Every medal he awards, every appointment will have an asterisk beside the name.",,,
24,"Trump awards Medal of Freedom to Tiger Woods, 'symbol of American excellence'.
",,,
25,RT @WandaIsWhite: I saw this in my neighborhood today! American flag with a #Trump flag underneath. #KAG #Trump2020 #GraceFellowship ,,,
26,"UBI for all and boots on the ground for Maduro? Tomorrow, on ",,,
27,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
28,"RT @adamzyglis: Yes, the poor NRA... #NRA #Trump #POTUS #undersiege #GunReformNow #schoolshootings @TheBuffaloNews ",,,
29,RT @fakeAndyShore: Another #Trump Administration official (@stevenmnuchin1) has broken the law. No surprise. Sad!,,,
30,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
31,Another #Trump Administration official (@stevenmnuchin1) has broken the law. No surprise. Sad!,,,
32,"Just lock him ip and get over it. 

#MAGA2020 without #Trump ",,,
33,Why is this racist @RickSantorum a paid contributor to @CNN @CNN WHY? ,,,
34,RT @kevincorke: #NEW @USTreasury REJECTS request for #Trump tax returns ,,,
35,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
36,@MissMyrtle2 @MaddowBlog #TruthIsTheEnemy to #Trump &amp; the #GOP. ,,,0
37,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
38,RT @kevincookshow1: ,,,
39,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
40,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
41,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
42,"RT @dnarip: Omissions in #MuellerReport
suggests possible #CoverUp of crimes against #Trump campaign

",,,
43,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
44,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
45,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
46,RT @kevincorke: #NEW @USTreasury REJECTS request for #Trump tax returns ,,,
47,"SPX potential top 2.5.2019 , check here ",,,
48,brexit reacts after last extension ,,,
49,@PrisonPlanet @realDonaldTrump Don't forget that Facebook helped #trump win. So not really a liberal outlet.,,,
50,RT @ChrisWill1337: brexit reacts after last extension ,,,
51,"RT @Telford_Russian: TO PRESIDENT #TRUMP: STATUS OF #WHISTLEBLOWERS

",,,
52,President #Trump banking on strong economy to outlast #China in #tradewar ,,,
53,"RT @Tombx7M: Alway remember..
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
54,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
55,"RT @Tombx7M: Coming soon
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
56,Joe Biden's Radically Liberal History Revealed | ,,,
57,#LetitiaJames is holding #Trump's feet to the fire. The #House needs to do the same! #ImpeachDonaldTrumpNOW ,,,
58,#trump and #RogerStone have one thing in common. They both like #strippers ,,,
59,"@WhiteHouse @TigerWoods What a classy moment, versus the divisive jerks on the #RedSox. #TigerWoods #Trump",,,
60,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
61,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
62,I need some honest perspectives. How can you be on favor of gay rights but also be a #trump supporter?,,,
63,I need #2000 today ... #maga #trump #kag #1a #2a please help me out !!!I F B #IFB #IRETWEET,,,
64,@gpa70 @SenSchumer @stevenmnuchin1 My 3 year old sounds intelligent next to a person who supports #Trump ..oh wait.,,,
65,Gallup: Trump Approval Rating Ticks Up to New High of 46 Percent ,,,
66,MAFIA SPIES -- Assassination Debate for the Trump Era ,,,
67,President Trump Honors Tiger Woods For F**king So Many Broads - HalfGuarded ,,,
68,Hey you #Trump &amp; #GOP 400 former DOJ prosecutors: Mueller had enough evidence to charge Trump ,,,
69,"RT @DearAuntCrabby: New York Times: Pelosi worries Trump won't give up power if he loses re-election by small margin 

",,,
70,"RT @Tombx7M: Alway remember..
#Tucker #Hannity #Tcot #Ccot #Qanon #MAGA  #KAG #Trump #WWG1WGA ",,,
71,"RT @DearAuntCrabby: Trump adviser caught scamming the elderly to give himself big salary

Yet another #Trump grifter.
 ",,,
